first	last	x	y	survival
dec_01_1_C	aug_01_1_C	76.28078809	81.2871266477557	1
dec_03_1_C	aug_03_1_C	65.44533733	85.18372287	1
dec_05_1_C	aug_05_1_C	95.41078249	134.4819398	1
dec_06_1_C	aug_06_1_C	156.467323	184.3161089	1
dec_07_1_C	aug_07_2_C	28.61827924	64.94067444	1
dec_09_1_C	aug_09_1_C	69.06675153	96.56035453	1
dec_15_1_C	aug_15_1_C	13.23777537	16.55376373	1
dec_16_1_C_2	aug_16_1_C_2	3.265177951	6.413128306	1
dec_16_1_C_3	aug_16_1_C_3	40.191661	78.65457988	1
dec_16_1_C_4	aug_16_1_C_4	9.565448352	19.7732101	1
dec_16_1_C	aug_16_1_C	8.024893577	20.11843512	1
dec_17_1_C	aug_17_1_C	73.03123846	99.28037122	1
dec_18_2_C	aug_18_1_C	51.59122466	47.74157126	1
dec_20_1_C	aug_20_1_C	59.3265188	61.60417363	1
dec_26_1_C	aug_26_1_C	232.1702821	243.3678794	1
dec_29_2_C_2	aug_29_2_C_2	29.70637088	30.53829079	1
dec_29_2_C_3	aug_29_2_C_3	3.83435151	4.615704772	1
dec_29_2_C	aug_29_2_C	31.7220799	47.59850166	1
dec_2a_1_C	aug_2a_1_C	47.26018869	70.00532944	1
dec_8a_2_C	aug_8a_1_C	388.822845	334.4676637	1
dec_05_2_C_M	aug_01		2.505595831	NA	0
dec_07_1_C_M	aug_01		0.147502617	NA	0
dec_09_2_C_M	aug_01		16.34211076	NA	0
dec_20_2_C_M	aug_01		7.138531416	NA	0
