class.min.size,class.max.size,status
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
0,1,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
1,5,not reproductive
5,10,not reproductive
5,10,m
5,10,m
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,f
5,10,m
5,10,not reproductive
5,10,not reproductive
5,10,f
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
5,10,not reproductive
10,100,m
10,100,m
10,100,m
10,100,m
10,100,not reproductive
10,100,not reproductive
10,100,not reproductive
10,100,f
10,100,not reproductive
10,100,not reproductive
10,100,m
10,100,m
10,100,not reproductive
10,100,not reproductive
10,100,not reproductive
10,100,not reproductive
10,100,not reproductive
10,100,f
10,100,not reproductive
10,100,not reproductive
10,100,not reproductive
10,100,not reproductive
10,100,f
10,100,not reproductive
10,100,m
10,100,not reproductive
10,100,not reproductive
10,100,f
10,100,not reproductive
