class.min.size,class.max.size,survival
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,1
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,1
5,10,0
5,10,0
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,1
10,20,0
